//X,Y,Z,R,G,B,Classification,Intensity,GpsTime,ReturnNumber,NumberOfReturns,UserData,PointSourceId
-128.91799927,37.59400177,1.90999997,169,127,111,0.000000,55.000000,-140682.437500,1.000000,2.000000,59.000000,1.000000
-128.30599976,37.48400116,1.89100003,159,128,107,0.000000,11.000000,-140682.437500,1.000000,3.000000,59.000000,1.000000
-128.36300659,37.20100021,-0.38299999,162,132,98,0.000000,41.000000,-140682.437500,2.000000,3.000000,48.000000,1.000000
-130.95799255,41.90599823,0.52800000,158,125,90,0.000000,12.000000,-140682.437500,1.000000,2.000000,52.000000,1.000000
-127.82900238,37.32899857,1.89600003,151,124,107,0.000000,6.000000,-140682.421875,1.000000,3.000000,59.000000,1.000000
-127.88500214,37.04800034,-0.35699999,160,137,105,0.000000,10.000000,-140682.421875,2.000000,3.000000,48.000000,1.000000
-130.47799683,41.73799896,0.48400000,171,140,111,0.000000,34.000000,-140682.421875,1.000000,2.000000,52.000000,1.000000
-127.30799866,37.11399841,1.85699999,145,116,86,0.000000,12.000000,-140682.421875,1.000000,3.000000,59.000000,1.000000
-127.36299896,36.83300018,-0.39199999,160,126,98,0.000000,30.000000,-140682.421875,2.000000,3.000000,48.000000,1.000000
-129.97099304,41.55699921,0.48400000,160,131,97,0.000000,13.000000,-140682.421875,1.000000,2.000000,52.000000,1.000000
-126.74099731,36.94400024,1.87800002,170,136,109,0.000000,19.000000,-140682.406250,1.000000,3.000000,59.000000,1.000000
-126.79599762,36.65800095,-0.40400001,152,122,94,0.000000,37.000000,-140682.406250,2.000000,3.000000,48.000000,1.000000
-129.40100098,41.37799835,0.48400000,167,130,101,0.000000,25.000000,-140682.406250,1.000000,2.000000,52.000000,1.000000
-126.16500092,36.82899857,1.92400002,193,151,127,0.000000,6.000000,-140682.406250,1.000000,3.000000,59.000000,1.000000
-126.22100067,36.53599930,-0.41900000,151,125,102,0.000000,7.000000,-140682.406250,2.000000,3.000000,48.000000,1.000000
-128.83900452,41.27999878,0.46399999,185,150,122,0.000000,23.000000,-140682.406250,1.000000,2.000000,52.000000,1.000000
-125.77300262,36.38800049,-0.36899999,155,120,98,0.000000,9.000000,-140682.390625,1.000000,2.000000,48.000000,1.000000
-126.22799683,38.08700180,5.04899979,172,135,109,0.000000,10.000000,-140682.390625,1.000000,2.000000,75.000000,1.000000
